Название;Тип;Флаг;MMSI;IMO;Позывной;Размер;GT;Грузоподъёмн.;Макс. скорость;Обновлено;Назначения;РВП;Морской статус;Особый груз;Скорость;Осадка;Курс;Направление;Расположение;Статус;Порт приписки;Судостроит. завод;Классифицировано;Год;Палубы;Материал корпуса;Номер корпуса;Тип корпуса;Производитель;Модель;Номер;Мощность (кВт/л.с.);Об./мин.;Тип двигателя;Ход цилиндра;Диаметр цилиндра;Подруль;Силовая установка;Кол. установок;Адрес;Индекс;Город;Страна;Телефон;Факс;E-Mail;Сайт;Грузоподъёмность;Gross Tonnage;Net Tonnage;Компенсированный GT;Водоизмещение;TPC;Длинна (ОДС);Длинна (ДМП);Ширина;Глубина;Высота;Киповая грузовм.;Зерновая грузовм.;Грузовм. рефрижераторных грузов;Рефрижераторный ДФЭ;ДФЭ;Пассажиры;SWL-устройство;Данные устройства;Тип устройства;Трюмы;Люки;Макс. размер люка;Грузовм. жидких грузов;Система инертного газа;Промывка рез. сырой нефтью;Химический Класс IMO;Насосы;Подача насоса;Резервуары;Классы
Jahan 1;Diesel;Iran;422439000;8840262;9BEM;52x8 m;487 t;535 t;8,5 kn;"<span title=""Сегодня, 11:43"">5мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø4,5 kn);3,2 m;-;-;"37°28'11"" N 49°28'02"" E";In Service;Bushehr;Osakikamijima, Hiroshima;-;1990;-;Steel;-;-;Matsui;6M26KGHS;-;478 / 650;385 rpm;-;-;-;-;Fixed Pitch;-;6th Alley, 145, Valiasr St, Ghasrdasht Ave;-;Shiraz; ;-;-; ; ;535 t;487 t;220 t;-;-;-;51,7 m;46 m;8,5 m;-;-;962 m²;-;-;-;-;-;-;-;-;-;-;26.40x6.50;-;-;-;-;-;-;-;-
Dzhigit;-;Kazakhstan;436000094;9384289;-;31x12 m;11 августа, 10:19; ; ;Пришвартовано;Ни одного;(Ø0 kn);2,6 m;-;354°;"44°34'30"" N 50°16'43"" E"
Black Fox;-;Sierra Leone;667133000;7042502;9LD2032;57x10 m;15 сентября 2011, 0:37; ; ;Под Парусом;Ни одного;(Ø-1 kn);3,3 m;-;-;"40°58'47"" N 28°56'52"" E"
Donmaster Pride;Diesel;Russian Federation;273389360;9282091;UGRM;96x13 m;2 914 t;4 294 t;10,5 kn;10 августа, 12:34; ; ;Пришвартовано;Ни одного;(Ø1,8 kn);5,6 m;54,1° ;-;"47°12'21"" N 39°41'53"" E";In Service;Saint John's;Nizhniy Novgorod;Germanischer Lloyd;2002;-;Steel;17310/8;-;-;6M25;-;1 850 / 2 515;750 rpm;-;-;-;B-1-135;Fixed Pitch;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649; ; ;4 294 t;2 914 t;1 311 t;-;-;-;96,3 m;92,2 m;13,6 m;6,7 m;-;4 795 m²;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Dorita;Diesel;Iran;422242000;8605234;EQYK;88x11 m;1 630 t;2 495 t;10,5 kn;19 августа, 20:59; ; ;На Ходу;Ни одного;(Ø8,1 kn);4,1 m;197,1° ;187°;"46°16'36"" N 47°57'00"" E";In Service;Bandar Anzali;Wartena;Bureau Veritas;1986;-;Steel;-;-;Deutz;SBV6M628;-;750 / 1 020;900 rpm;-;-;-;-;Fixed Pitch;-;Sluisweg 13-16, 8531 DL Lemmer;8531 DL;Lemmer; ;+31 514 568550;+31 514 562165;-; ;2 495 t;1 630 t;902 t;-;-;-;87,9 m;83,9 m;11 m;5,4 m;8,6 m;-;3 317 m²;-;-;-;-;-;G-1-?;Gantry Crane;-;-;63.60x8.50;-;-;-;-;-;-;-;-
Dunay;Diesel;Russian Federation;273459410;7819905;UHJW;55x12 m;739 t;798 t;"<span title=""Сегодня, 9:07"">2ч 2мин назад</span>"; ; ;На Якоре;Ни одного;(Ø4,1 kn);3,9 m;261,5° ;243°;"54°58'17"" N 20°23'09"" E";In Service;Kaliningrad;Kraljevica;Russian Maritime Register;1980;-;Steel;-;-;-;Sulzer;8ASL25/30;-;3 192 / 4 340;1 000 rpm;-;-;-;-;Fixed Pitch;-;ul Namyotkina 12A, Moscow, 117420, Russia;117420;Moscow; ;+7 499 580 3854;+7 499 580 3934; ; ;798 t;739 t;221 t;-;-;-;54,6 m;49 m;12,1 m;4,9 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Dyurso;Diesel;Russian Federation;273151300;9083196;UEUK;4 991 t;5 885 t;10 kn;09 февраля, 19:06; ; ;Пришвартовано;Ни одного;(Ø0,3 kn);4,5 m;11,4° ;-;"46°19'56"" N 47°59'14"" E";In Service;Makhachkala;Nizhniy Novgorod;Russian Maritime Register;1993;-;Steel;19610/22;-;-;8NVD48A-3U;-;1 940 / 2 638;428 rpm;-;-;-;-;Fixed Pitch;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649; ; ;5 885 t;4 991 t;1 781 t;-;-;-;139,8 m;134 m;16,6 m;6,7 m;-;6 785 m²;6 843 m²;-;-;-;-;-;-;-;-;-;18.70x11.80;-;-;-;-;-;-;-;-
Etim Emin;Diesel;Russian Federation;273355400;8700010;UBIG5;81x11 m;1 853 t;2 075 t;10,3 kn;"<span title=""Сегодня, 1:25"">10ч назад</span>"; ; ;На Якоре;Ни одного;(Ø4,8 kn);2,6 m;329° ;339°;"45°40'54"" N 47°41'53"" E";In Service;Astrakhan;Uusikaupunki;Russian Maritime Register;1988;-;Steel;-;-;Volvo;D30A-MT;-;960 / 1 306;1 350 rpm;-;-;-;-;Fixed Pitch;-;ul Chkalova 29, Olya, Limanskiy rayon;414000;Olya, Limanskiy rayon; ;+7 8512 448076;+7 8512 447581; ; ;2 075 t;1 853 t;695 t;-;-;-;82,5 m;77,8 m;11,4 m;5,8 m;-;-;3 047 m²;-;-;-;-;-;-;-;-;-;44.80x8.60;-;-;-;-;-;-;-;-
Zhibek Zholy;-;Russian Federation;273334880;9598880;UGHI;140x17 m;"<span title=""Сегодня, 11:44"">4мин назад</span>"; ; ;На Якоре;Ни одного;(Ø4,8 kn);3,3 m;-;320°;"41°16'41"" N 29°02'50"" E"
Zubr;-;Russian Federation;273446580;8682323;UERC;52x12 m;"<span title=""Сегодня, 11:46"">3мин назад</span>"; ; ;На Якоре;Ни одного;(Ø0,2 kn);2,3 m;228° ;-;"59°48'37"" N 30°35'47"" E"
Ivan Sivko;Diesel;Russian Federation;273342320;9096727;UALF9;48x9 m;576 t;125 t;"<span title=""Сегодня, 11:48"">только что</span>";-; ;На Ходу;Ни одного;(Ø2,5 kn);2,5 m;270° ;-;"45°18'20"" N 36°31'07"" E";In Service;Astrakhan;Budapest;Russian Maritime Register;1979;-;Steel;1872;-;-;-;6NVD48A-2U;-;1 250 / 1 700;428 rpm;-;-;-;-;-;-;ul Neftyanikov 26A, Astrakhan, 414017, Russia;414017;Astrakhan; ;+7 8512 597862;+7 8512 597862; ; ;125 t;576 t;512 t;-;-;-;48,5 m;46,3 m;9,6 m;3,5 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ievoli Orange;-;Russian Federation;273324640;9580704;UEZR;50x13 m;"<span title=""Сегодня, 6:21"">5ч 5мин назад</span>"; ; ;На Якоре;Ни одного;(Ø6,8 kn);-;-;111°;"46°07'13"" N 50°52'45"" E";-;-;-;-;-;-;-;-;-;-;-;-;-;- / -;-;-;-;-;-;-;-;Via S. Brigida;-;Napoli; ;+39 081 251 3300;+39 081 551 0865; ; ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Izyskatel-1;Diesel;Russian Federation;273348710;8934881;UBSE6;45x9 m;426 t;552 t;8,1 kn;"<span title=""Сегодня, 11:48"">только что</span>"; ; ;На Ходу;Ни одного;(Ø4,8 kn);2,7 m;177° ;169°;"39°26'56"" N 52°42'49"" E";In Service;Astrakhan;Astrakhan;Russian Maritime Register;1968;-;Steel;-;-;Daldiesel;6CHNSP18/22;-;330 / 448;750 rpm;-;-;-;-;Fixed Pitch;-;ul Krasnaya Naberezhnaya 85, Astrakhan, 414004, Russia;414004;Astrakhan; ;+7 851 222 8524;+7 851 222 8554; ; ;552 t;426 t;137 t;-;-;-;47,7 m;45 m;9,2 m;3,3 m;-;-;-;-;-;-;-;-;-;-;-;-;20.00x5.80;-;-;-;-;-;-;-;-
Izyskatel-2;Diesel;Russian Federation;273425760;8721820;UAIJ;55x10 m;723 t;414 t;12 kn;"<span title=""Сегодня, 11:48"">только что</span>"; ; ;На Ходу;Ни одного;(Ø6,6 kn);4,1 m;56,8° ;-;"39°29'34"" N 52°38'51"" E";In Service;Makhachkala;Kiyev;-;1988;-;Steel;1600;-;-;8NVD48A-2U;-;852 / 1 158;375 rpm;-;-;-;-;Controllable Pitch;-;ul Elektrikov 126, 04176 Kiev;04176;Kiev; ;+380 44 416 5432;+380 77 417 7140;-; ;414 t;723 t;216 t;-;-;-;54,8 m;50,3 m;10,2 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Izyskatel-3;"
              Не Судно
            ";Russian Federation;273616100;8723268;UCWZ;85x13 m;"<span title=""Сегодня, 11:44"">5мин назад</span>"; ; ;На Ходу;Ни одного;(Ø0,2 kn);3,7 m;189,4° ;-;"43°01'57"" N 47°34'37"" E"
Ikryaninskiy;"
              Не Судно
            ";Russian Federation;273445870;8228608;UHQE;84x13 m;"<span title=""Сегодня, 11:29"">20мин назад</span>"; ; ;На Якоре;Ни одного;(Ø0 kn);3,5 m;101,6° ;-;"43°08'27"" N 48°35'07"" E"
York;Diesel;Russian Federation;273340110;8935392;UFMQ;108x15 m;2 454 t;3 201 t;10 kn;"<span title=""Сегодня, 9:52"">1ч 1мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø2,5 kn);3,3 m;268,6° ;329°;"40°15'28"" N 49°40'06"" E";In Service;Kingstown;Oltenita;Russian Maritime Register;1978;-;Steel;-;-;-;6NVD48A-2U;-;1 030 / 1 400;300 rpm;-;-;-;-;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401; ; ;3 201 t;2 454 t;823 t;-;-;-;108,4 m;101,8 m;14,8 m;-;-;4 385 m²;-;-;-;-;-;-;-;-;-;-;15.60x10.90;-;-;-;-;-;-;-;-
Iskander;Diesel;Russian Federation;273358290;9400241;UBQJ8;28x10 m;296 t;182 t;10 kn;"<span title=""Сегодня, 11:49"">только что</span>"; ; ;На Якоре;Ни одного;(Ø0,3 kn);2,8 m;-;-;"46°19'55"" N 47°59'09"" E";In Service;Aqtau;Lobith;Russian Maritime Register;2006;-;Steel;-;-;Caterpillar;3508B;-;1 640 / 2 230;1 600 rpm;-;-;-;-;Directional;-;Postbus 12, 6916 ZG Tolkamer;6916 ZG;Tolkamer; ;+31 316 541641;+31 316 542322;-; ;182 t;296 t;88 t;-;-;-;30,4 m;26,8 m;10,4 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Issledovatel Kaspiya;"
              Не Судно
            ";Russian Federation;273438200;8937118;UAHC;32x8 m;17 августа, 7:22; ; ;Пришвартовано;Ни одного;(Ø7,9 kn);-;-;-;"46°04'14"" N 47°43'51"" E"
East River;"
              Не Судно
            ";Russian Federation;273396020;8109814;UFZE;52x12 m;"<span title=""Сегодня, 11:43"">6мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø0 kn);3,2 m;28° ;-;"46°16'52"" N 47°56'57"" E"
"""I S H I M""";Diesel;Russian Federation;273347110;8870384;UIAP;82x11 m;1 522 t;1 755 t;8,5 kn;"<span title=""Сегодня, 11:48"">только что</span>"; ; ;На Якоре;Ни одного;(Ø0,2 kn);3,4 m;115,9° ;-;"39°41'13"" N 53°10'37"" E";In Service;Astrakhan;Rosslau;Russian Maritime Register;1978;-;Steel;-;-;-;8VD36/24A-1;-;882 / 1 200;-;-;-;-;-;Fixed Pitch;-;ul Rozdestvenskogo, 5, Astrakhan, 414057, Russia;414057;Astrakhan; ;+7 851 250 2889;+7 851 250 2701; ; ;1 755 t;1 522 t;804 t;-;-;-;81,9 m;78,1 m;11,9 m;-;-;-;1 940 m²;-;-;-;-;-;-;-;-;-;19.60x9.50;-;-;-;-;-;-;-;-
Kadet;Diesel;Russian Federation;273384210;9083328;UBVN3;117x16 m;4 110 t;4 985 t;10,5 kn;"<span title=""Сегодня, 11:49"">только что</span>"; ; ;На Якоре;Ни одного;(Ø0,1 kn);4,9 m;181,8° ;310°;"36°36'15"" N 36°07'46"" E";In Service;Kingstown;Nizhniy Novgorod;Russian Maritime Register;1993;-;Steel;19611/23;-;-;8NVD48A-3U;-;1 940 / 2 638;428 rpm;-;-;-;B-1-135;Fixed Pitch;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649;-; ;4 985 t;4 110 t;1 378 t;-;-;-;117,5 m;110,7 m;16,6 m;6,7 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Kados;Diesel;Iran;422886000;9137258;EPAH2;98x16 m;2 842 t;3 816 t;11,5 kn;"<span title=""Сегодня, 10:42"">1ч 1мин назад</span>"; ; ;На Ходу;Ни одного;(Ø4,6 kn);4,2 m;136,5° ;132°;"41°29'20"" N 49°17'13"" E";In Service;Bandar Anzali;Oltenita;Germanischer Lloyd;2000;-;Steel;-;Double Bottom;-;6VD29/24AL-2;-;1 700 / 2 312;750 rpm;-;-;-;B-1-90;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401; ; ;3 816 t;2 842 t;1 414 t;-;-;-;98 m;93,5 m;16 m;5,7 m;-;-;4 936 m²;-;-;-;-;-;-;-;-;-;25.50x13.20;-;-;-;-;-;-;-;-
Kazak;Diesel;Russian Federation;273442130;9202467;UBXQ;103x17 m;3 376 t;3 964 t;11 kn;Вчера, 12:38;For Order; ;На Ходу;Ни одного;(Ø5,1 kn);4,6 m;148° ;-;"59°46'20"" N 30°44'50"" E";In Service;Astrakhan;Navashino;Russian Maritime Register;1998;-;Steel;1202;-;-;6VD29/24AL-1;-;1 800 / 2 448;750 rpm;-;-;-;-;Fixed Pitch;-;of.2, 3 st. Semashko ;344002;Rostov-on-Don; ;+7 863 2697 704;+7 863 2697 706; ; ;3 964 t;3 376 t;1 219 t;-;-;-;102,5 m;97,4 m;16,4 m;6,1 m;-;-;4 150 m²;-;-;-;-;-;-;-;-;-;23.10x12.60;-;-;-;-;-;-;-;-
Kazan City;Diesel;Russian Federation;273410020;9104782;UENA;138x17 m;4 408 t;5 776 t;10 kn;"<span title=""Сегодня, 9:55"">1ч 1мин назад</span>"; ; ;На Ходу;IMO Hazard A;(Ø7,9 kn);4,1 m;320,8° ;323°;"44°53'09"" N 32°40'14"" E";In Service;Astrakhan;Rousse;Russian Maritime Register;1996;-;Steel;-;Double Hull;-;8NVDS48A-2U;-;1 764 / 2 398;390 rpm;-;-;-;-;Fixed Pitch;-;"126A, Savushkina str., BC ""Atlantic City""";197374;Saint-Petersburg; ;+7 812 3312411;+7 812 3312410; ; ;5 776 t;4 408 t;1 322 t;-;-;-;138 m;134,2 m;17 m;6,4 m;-;-;-;-;-;-;-;-;-;-;-;-;-;5 250;-;-;IMO 2;2-P-450;-;-;-
Kazakhstan;Diesel;Kazakhstan;436000034;9323118;-;149x17 m;7 224 t;12 359 t;10,6 kn;"<span title=""Сегодня, 11:49"">только что</span>"; ; ;На Ходу;IMO Hazard A;(Ø5,8 kn);-;267° ;267°;"43°33'02"" N 50°41'51"" E";In Service;Aqtau;Vyborg;Russian Maritime Register;2005;-;Steel;-;Double Hull;Wartsila;8L26A;-;2 480 / 3 372;1 000 rpm;-;-;-;-;Fixed Pitch;-;Primorskoye Shosse 2b, 188800 Vyborg;188800;Vyborg; ;+7 813 782 8686;+7 813 782 8952;-; ;12 359 t;7 224 t;3 517 t;-;3 410 t;24,3 t;149,4 m;143,2 m;17,3 m;10,1 m;27,7 m;-;-;-;-;-;-;-;-;-;-;-;-;13 994;-;-;-;U-12-125;-;-;-
Kalevala;Diesel;Russian Federation;273333800;8866644;UISV;105x17 m;2 829 t;3 997 t;10,8 kn;"<span title=""Сегодня, 11:26"">24мин назад</span>"; ; ;На Ходу;Ни одного;(Ø7,5 kn);3,4 m;9,3° ;-;"39°24'31"" N 49°50'15"" E";In Service;St Petersburg;Oltenita;Russian Maritime Register;1986;-;Steel;5092;-;Dvigatel Revolyutsii;6CHRN36/45;-;1 324 / 1 800;375 rpm;-;-;-;B-1-95;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401; ; ;3 997 t;2 829 t;1 012 t;-;-;-;105,3 m;99,6 m;16,7 m;5,5 m;-;-;3 847 m²;-;-;-;-;-;-;-;-;-;28.20x13.22;-;-;-;-;-;-;-;-
Kalitva;Diesel;Russian Federation;273437050;8899067;UFCD;108x15 m;2 463 t;3 174 t;"<span title=""Сегодня, 11:32"">18мин назад</span>"; ; ;На Якоре;Ни одного;(Ø7 kn);3,3 m;-;211°;"45°11'25"" N 36°30'10"" E";In Service;Taganrog;Krasnoyarsk;Russian Maritime Register;1974;-;Steel;-;-;-;-;6NVD48A-2U;-;1 030 / 1 400;-;-;-;-;-;Fixed Pitch;-;PO Box 32, Business Center, proyezd Savelkinskiy 4;125195;Moscow; ;+7 495 739 6544;+7 495 739 6542; ; ;3 174 t;2 463 t;979 t;-;-;-;108,1 m;105 m;14,8 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Kamizyakskiy;"
              Не Судно
            ";Russian Federation;273448920;8228294;UIJD;85x13 m;"<span title=""Сегодня, 11:50"">только что</span>"; ; ;На Якоре;Ни одного;(Ø0,2 kn);3,8 m;174,4° ;-;"43°08'06"" N 48°35'05"" E"
Canopus;Diesel;Russian Federation;273368980;8709705;UHLU;30x11 m;232 t;128 t;9,6 kn;25 июля, 9:05; ; ;На Ходу;Ни одного;(Ø6,3 kn);1,7 m;291,8° ;291°;"57°47'16"" N 39°40'19"" E";In Service;Aqtau;Husum;Bureau Veritas;1987;-;Steel;1508;-;Caterpillar;3412TA;-;930 / 1 264;1 800 rpm;-;-;-;-;Directional;-;Monahan Road, Cork, Ireland;-;Cork; ;+44 1463 713323;+44 1463 233035; ; ;128 t;232 t;69 t;-;-;-;30 m;25,5 m;11,1 m;2,5 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Capella;Diesel;Russian Federation;273331110;7612412;UBCF7;95x12 m;2 349 t;2 627 t;12,5 kn;17 августа, 6:10; ; ;На Якоре;Ни одного;(Ø0,2 kn);4,3 m;36,2° ;124°;"44°53'08"" N 49°02'40"" E";In Service;Freetown;Turku;Russian Maritime Register;1980;-;Steel;-;-;-;6NVD48-2U;-;1 280 / 1 740;-;-;-;-;-;Fixed Pitch;-;ul Kuybysheva 2, Simferopol, Ukraine;-;Simferopol; ;+38 652 529192;+38 652 529105; ; ;2 627 t;2 349 t;775 t;-;-;-;95 m;90,2 m;13,2 m;5,5 m;-;3 475 m²;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Huseyn Javid;Diesel;Azerbaijan;423029100;9396658;4JRJ;108x16 m;4 182 t;5 464 t;10,5 kn;"<span title=""Сегодня, 11:50"">только что</span>"; ; ;На Якоре;Ни одного;(Ø0 kn);4,8 m;220,4° ;-;"40°50'20"" N 29°16'12"" E";In Service;Panama City;Petrozavodsk;Russian Maritime Register;2007;-;Steel;-;-;Wartsila;6L20;-;2 100 / 2 856;1 000 rpm;-;-;-;-;Fixed Pitch;-;ul Rigachina 25, 185005 Petrozavodsk;185005;Petrozavodsk; ;+7 814 271 7401;+7 814 271 1255;-; ;5 464 t;4 182 t;2 373 t;-;-;-;108,3 m;102,2 m;16,7 m;5,5 m;-;-;7 831 m²;-;-;-;-;-;C-1-16;Cranes;-;-;27.30x12.70;-;-;-;-;-;-;-;-
Kapitan Barmin;Diesel;Russian Federation;273423570;9269350;UHJL;134x16 m;4 535 t;5 742 t;11 kn;18 августа, 14:42; ; ;На Якоре;Ни одного;(Ø5,6 kn);4,4 m;-;332°;"48°31'56"" N 44°39'27"" E";In Service;Astrakhan;Rybinsk;Russian Maritime Register;2002;-;Steel;-;Double Hull;Wartsila;8R22;-;2 322 / 3 156;1 200 rpm;-;-;-;-;Controllable Pitch;-;Stroyeniye 1B, ul Makarenko 5/16;105062;Moscow; ;+7 495 777 5747;+7 495 777 5750; ; ;5 742 t;4 535 t;1 443 t;-;-;-;134,5 m;128,7 m;16,7 m;6,5 m;-;-;-;-;-;-;-;-;-;-;-;-;-;6 320;-;-;-;-;-;-;-
Kapitan Voronkov;Diesel;Russian Federation;273333500;8623987;UIUB;114x14 m;2 466 t;3 346 t;10,7 kn;"<span title=""Сегодня, 11:50"">только что</span>"; ; ;На Якоре;Ни одного;(Ø6,5 kn);3,8 m;290,8° ;-;"47°11'21"" N 39°39'29"" E";In Service;Taganrog;Gorkiy;Russian Maritime Register;1985;-;Steel;-;-;-;6NVD48A-2;-;970 / 1 318;-;-;-;-;-;Fixed Pitch;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649;-; ;3 346 t;2 466 t;1 065 t;-;-;-;114 m;110,8 m;13,2 m;5,5 m;-;4 297 m²;-;-;-;-;-;-;-;-;-;-;17.90x9.30;-;-;-;-;-;-;-;-
Kapitan Matveev;Diesel;Russian Federation;273430550;8951396;UENP;109x15 m;2 463 t;3 197 t;12 kn;Вчера, 4:29; ; ;На Ходу;Ни одного;(Ø5,5 kn);3,3 m;26,6° ;-;"48°55'43"" N 44°45'43"" E";In Service;Taganrog;Krasnoyarsk;Russian Maritime Register;1987;-;Steel;-;-;-;6NVD48A-2U;-;1 030 / 1 400;300 rpm;-;-;-;-;Fixed Pitch;-;Office 10, Block 11/1, pereulok Sukharevskiy Bolsh;127051;Moscow; ;+7 495 632 9699;+7 495 624 2784; ; ;3 197 t;2 463 t;979 t;-;-;-;108,4 m;102,2 m;15,2 m;5,1 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Kapitan Permyakov;Diesel;Russian Federation;273343600;8727953;UFQN;140x17 m;4 402 t;5 630 t;10 kn;"<span title=""Сегодня, 11:42"">9мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø5,7 kn);4,1 m;-;233°;"39°59'40"" N 53°03'54"" E";In Service;Astrakhan;Rousse;Russian Maritime Register;1987;-;Steel;-;Double Hull;-;8NVDS48A-2U;-;1 764 / 2 398;390 rpm;-;-;-;-;Fixed Pitch;-;"126A, Savushkina str, BC ""Atlantic City""";197374;Saint-Petersburg; ;+7 812 3312411;+7 812 3312410; ; ;5 630 t;4 402 t;1 320 t;-;-;-;138 m;130,4 m;17 m;6,4 m;-;-;-;-;-;-;-;-;-;-;-;-;-;5 300;-;-;IMO 2;P-2-450;-;-;-
Kapitan Pirozhkov;Diesel;Russian Federation;273346600;8230716;UFRB;133x16 m;3 476 t;4 823 t;10,9 kn;"<span title=""Сегодня, 11:50"">только что</span>"; ; ;На Ходу;IMO Hazard A;(Ø6,3 kn);3,5 m;244,8° ;-;"48°32'16"" N 44°38'56"" E";In Service;Astrakhan;Rousse;Russian Maritime Register;1976;-;Steel;-;-;-;8NVD48AU;-;1 472 / 2 002;375 rpm;-;-;-;-;Fixed Pitch;-;ul. Lenina 97/1, Ufa, Bashkortostan, 450006;450006;St Petersburg; ;+7 347 229 3500;+7 347 225 6256; ; ;4 823 t;3 476 t;1 060 t;-;-;-;132,6 m;123,7 m;16,9 m;5,5 m;-;-;-;-;-;-;-;-;-;-;-;-;-;5 672;-;-;-;-;-;-;-
Carrizona;Diesel;Russian Federation;273350080;8955469;UBSG3;108x15 m;2 463 t;3 201 t;10,5 kn;"<span title=""Сегодня, 11:50"">только что</span>"; ; ;На Ходу;Ни одного;(Ø6,6 kn);3,3 m;251° ;253°;"48°44'31"" N 44°34'30"" E";In Service;Taganrog;Krasnoyarsk;Russian Maritime Register;1976;-;Steel;-;-;-;6NVD48A-2U;-;1 030 / 1 400;-;-;-;-;-;Fixed Pitch;-;Leninskiy prospekt 18, Kaliningrad, 236040, Russia;236040;Kaliningrad; ;+7 4012 369555;+7 4012 369555; ; ;3 201 t;2 463 t;979 t;-;-;-;108,4 m;102,7 m;14,8 m;-;-;-;4 678 m²;-;-;-;-;-;-;-;-;-;15.60x10.50;-;-;-;-;-;-;-;-
Kasma;Diesel;Iran;422064500;8721351;EPDB8;116x13 m;3 086 t;3 337 t;10 kn;Вчера, 5:48; ; ;На Ходу;Ни одного;(Ø0 kn);4,1 m;331° ;-;"44°54'55"" N 47°45'31"" E";In Service;St Petersburg;Komarno;Russian Maritime Register;1985;-;Steel;2309;-;Skoda;6L275A2;-;1 030 / 1 400;600 rpm;-;-;-;-;Fixed Pitch;-;ul Gapsalskaya 5, St Petersburg, 198035;198035;St Petersburg; ;+7 812 334 0508;+7 812 334 0584; ; ;3 337 t;3 086 t;999 t;-;-;-;115,8 m;109,1 m;13,4 m;-;-;-;4 064 m²;-;-;-;-;-;-;-;-;-;24.00x10.13;-;-;-;-;-;-;-;-
Unzile Ana;Diesel;Turkey;271044531;9133367;TCA4156;96x13 m;2 914 t;4 237 t;11,5 kn;15 августа, 6:01; ; ;На Ходу;Ни одного;(Ø8,6 kn);5,5 m;292° ;-;"38°21'19"" N 23°46'42"" E";In Service;Taganrog;Nizhniy Novgorod;Russian Maritime Register;1996;-;Steel;17310/2;-;Wartsila;12V22HF;-;1 480 / 2 012;1 200 rpm;-;-;-;B-1-135;Fixed Pitch;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649; ; ;4 237 t;2 914 t;1 311 t;-;-;-;96,3 m;93,5 m;13,6 m;6,7 m;-;4 796 m²;-;-;-;-;-;-;-;-;-;-;26.40x10.30;-;-;-;-;-;-;-;-
Habibe Ana;Diesel;Panama;372098000;9133355;HPAG;96x14 m;2 813 t;3 837 t;11,5 kn;"<span title=""Сегодня, 11:50"">только что</span>"; ; ;На Якоре;Ни одного;(Ø0,3 kn);5,2 m;285,2° ;-;"40°46'01"" N 29°31'18"" E";In Service;Taganrog;Nizhniy Novgorod;Russian Maritime Register;1995;-;Steel;17310/1;-;Wartsila;12V22HF;-;1 480 / 2 012;1 200 rpm;-;-;-;B-1-135;Fixed Pitch;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649; ; ;3 837 t;2 813 t;1 219 t;-;-;-;96,3 m;93,5 m;13,6 m;6,7 m;-;-;-;-;-;-;-;-;-;-;-;-;26.40x10.30;-;-;-;-;-;-;-;-
